City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,San Jose,US,50.47,clear sky,37.3394,-121.895,Hotel De Anza
1,Saint Austell,GB,47.01,overcast clouds,50.3383,-4.7658,Porth Avalion Hotel
4,Altamira,BR,71.58,moderate rain,-3.2033,-52.2064,Hotel Vale do Xingu
7,Esperance,AU,78.12,light rain,-33.8667,121.9,Best Western
8,Naron,ES,54.45,overcast clouds,43.5167,-8.1528,PR Maragoto
9,Saldanha,ZA,62.65,scattered clouds,-33.0117,17.9442,Hoedjesbaai
10,Hithadhoo,MV,81.36,overcast clouds,-0.6,73.0833,Pebbles Inn
13,Half Moon Bay,US,51.31,few clouds,37.4636,-122.4286,Half Moon Bay Inn
14,Castro,BR,58.62,overcast clouds,-24.7911,-50.0119,Hotel Central Palace
17,Victoria,HK,76.96,broken clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
18,Ushuaia,AR,46.06,broken clouds,-54.8,-68.3,Apart Hotel Aires del Beagle
20,Ketchikan,US,23.47,few clouds,55.3422,-131.6461,Cape Fox Lodge
24,Jamestown,US,46.71,clear sky,42.097,-79.2353,DoubleTree Jamestown
25,Inirida,CO,72.57,overcast clouds,3.8653,-67.9239,Residencias El Turista del Guainia
26,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,Le Baril
27,Santa Vitoria Do Palmar,BR,66.42,clear sky,-33.5189,-53.3681,Hotel Brasil
28,Komsomolskiy,UZ,41.72,mist,40.4272,71.7189,"Hotel ""Ikat House"""
32,Blankenberge,BE,44.94,broken clouds,51.3131,3.1323,Pullman
35,Magadan,RU,24.53,light snow,59.5667,150.8,Гостиница «ВМ-Центр»
36,Puerto Escondido,MX,78.49,light rain,15.85,-97.0667,Hotel Barlovento
37,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti International Resort
38,Winkler,CA,17.6,overcast clouds,49.1817,-97.941,Days Inn
39,Kapaa,US,80.92,clear sky,22.0752,-159.319,Pono Kai Resort
41,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
43,Georgetown,MY,85.98,few clouds,5.4112,100.3354,Page 63 hostel
44,Vila,PT,40.08,overcast clouds,42.0304,-8.1588,Hotel Miracastro
45,Mar Del Plata,AR,67.08,moderate rain,-38.0023,-57.5575,Nuevo Ostende
46,Esso,RU,14.92,overcast clouds,55.9333,158.7,Горизонты Камчатки
48,Hobart,AU,66.06,broken clouds,-42.8794,147.3294,The Old Woolstore Apartment Motel
51,Rikitea,PF,72.18,broken clouds,-23.1203,-134.9692,Chez Bianca & Benoit
54,Kavieng,PG,85.01,overcast clouds,-2.5744,150.7967,Kavieng Hotel
55,Baiyin,CN,15.91,overcast clouds,36.5583,104.2081,红鹭宾馆
57,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
58,Cam Ranh,VN,87.76,few clouds,11.9214,109.1591,Khách sạn Thái Bình
60,Sao Filipe,CV,73.96,few clouds,14.8961,-24.4956,Bela Vista
62,Hilo,US,80.28,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
63,New Norfolk,AU,65.7,overcast clouds,-42.7826,147.0587,Woodbridge on the Derwent
67,Rorvik,NO,35.71,overcast clouds,64.8621,11.2373,Kysthotellet Rørvik
68,Bela,IN,71.44,overcast clouds,25.9333,81.9833,Hotel City Palace
69,Katsuura,JP,68.45,overcast clouds,35.1333,140.3,潮騒の宿
71,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
72,Kautokeino,NO,27.54,overcast clouds,69.0125,23.0412,Thon Hotel Kautokeino
76,Kahului,US,78.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
77,Narsaq,GL,28.62,overcast clouds,60.9167,-46.05,Hotel Narsaq
79,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Coco Villa
80,Sestri Levante,IT,46.31,broken clouds,44.2732,9.3968,Grande Albergo
81,Bako,ET,64.27,overcast clouds,5.7833,36.5667,Goh Hotel
83,Muros,ES,54.09,light rain,42.7762,-9.0603,Pensión Ría de Muros
84,Canico,PT,62.71,scattered clouds,32.6333,-16.85,Dom Pedro
86,Punta Arenas,CL,46.11,overcast clouds,-53.15,-70.9167,Hotel Lacolet
87,Los Llanos De Aridane,ES,64.15,overcast clouds,28.6585,-17.9182,Valle Aridane
88,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
89,Vardo,NO,31.98,broken clouds,70.3705,31.1107,Meieriet
93,Hermanus,ZA,63.81,few clouds,-34.4187,19.2345,Aloe guest house
