City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Jose,US,37.3394,-121.895,50.47,64,0,8.05,clear sky
1,Saint Austell,GB,50.3383,-4.7658,47.01,87,99,9.22,overcast clouds
2,Provideniya,RU,64.3833,-173.3,32.36,100,100,7.0,snow
3,Barrow,US,71.2906,-156.7887,10.42,79,100,14.97,light snow
4,Altamira,BR,-3.2033,-52.2064,71.58,98,96,0.74,moderate rain
5,Beringovskiy,RU,63.05,179.3167,30.47,99,100,2.39,snow
6,Arraial Do Cabo,BR,-22.9661,-42.0278,73.09,90,80,21.45,broken clouds
7,Esperance,AU,-33.8667,121.9,78.12,38,100,13.2,light rain
8,Naron,ES,43.5167,-8.1528,54.45,83,100,8.21,overcast clouds
9,Saldanha,ZA,-33.0117,17.9442,62.65,95,42,5.06,scattered clouds
10,Hithadhoo,MV,-0.6,73.0833,81.36,74,98,5.57,overcast clouds
11,Pevek,RU,69.7008,170.3133,7.18,95,100,11.97,light snow
12,Nikolskoye,RU,59.7035,30.7861,26.49,92,100,4.32,overcast clouds
13,Half Moon Bay,US,37.4636,-122.4286,51.31,71,20,11.5,few clouds
14,Castro,BR,-24.7911,-50.0119,58.62,97,95,4.47,overcast clouds
15,Mariinsk,RU,56.2139,87.7472,-7.37,84,85,3.53,overcast clouds
16,Albany,US,42.6001,-73.9662,32.27,78,100,5.03,overcast clouds
17,Victoria,HK,22.2855,114.1577,76.96,85,51,18.99,broken clouds
18,Ushuaia,AR,-54.8,-68.3,46.06,66,75,11.5,broken clouds
19,Fakel,RU,57.6325,53.0252,6.49,97,81,3.47,broken clouds
20,Ketchikan,US,55.3422,-131.6461,23.47,36,20,11.5,few clouds
21,Port Alfred,ZA,-33.5906,26.891,71.35,80,3,3.51,clear sky
22,Sumbe,AO,-11.2061,13.8437,76.69,86,100,6.62,overcast clouds
23,East London,ZA,-33.0153,27.9116,65.34,94,0,2.3,clear sky
24,Jamestown,US,42.097,-79.2353,46.71,80,0,16.11,clear sky
25,Inirida,CO,3.8653,-67.9239,72.57,97,100,3.24,overcast clouds
26,Saint-Philippe,RE,-21.3585,55.7679,78.39,77,40,7.2,scattered clouds
27,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,66.42,95,5,8.68,clear sky
28,Komsomolskiy,UZ,40.4272,71.7189,41.72,87,89,0.0,mist
29,Juquia,BR,-24.3208,-47.6347,68.41,99,100,1.36,overcast clouds
30,Lebu,CL,-37.6167,-73.65,53.85,82,88,18.79,overcast clouds
31,Butaritari,KI,3.0707,172.7902,81.21,75,16,9.93,few clouds
32,Blankenberge,BE,51.3131,3.1323,44.94,91,72,3.4,broken clouds
33,Chingirlau,KZ,51.095,54.0814,16.66,42,26,6.15,scattered clouds
34,Mayo,US,38.8876,-76.5119,47.1,83,0,12.66,clear sky
35,Magadan,RU,59.5667,150.8,24.53,83,100,48.34,light snow
36,Puerto Escondido,MX,15.85,-97.0667,78.49,77,68,2.75,light rain
37,Vaini,TO,-21.2,-175.2,84.36,70,20,12.66,few clouds
38,Winkler,CA,49.1817,-97.941,17.6,73,96,14.97,overcast clouds
39,Kapaa,US,22.0752,-159.319,80.92,80,0,5.75,clear sky
40,Tateyama,JP,34.9833,139.8667,71.1,75,83,7.09,broken clouds
41,Avarua,CK,-21.2078,-159.775,78.85,78,75,16.11,broken clouds
42,Mount Isa,AU,-20.7333,139.5,94.77,14,0,17.27,clear sky
43,Georgetown,MY,5.4112,100.3354,85.98,77,20,5.75,few clouds
44,Vila,PT,42.0304,-8.1588,40.08,94,99,4.29,overcast clouds
45,Mar Del Plata,AR,-38.0023,-57.5575,67.08,98,100,2.3,moderate rain
46,Esso,RU,55.9333,158.7,14.92,96,100,10.25,overcast clouds
47,Amapa,BR,1.0,-52.0,70.57,98,41,1.48,scattered clouds
48,Hobart,AU,-42.8794,147.3294,66.06,48,75,6.91,broken clouds
49,Aksarka,RU,66.5606,67.7975,-2.76,99,92,3.18,overcast clouds
50,Mandalgovi,MN,45.7625,106.2708,1.72,38,1,8.34,clear sky
51,Rikitea,PF,-23.1203,-134.9692,72.18,72,82,13.2,broken clouds
52,Bluff,NZ,-46.6,168.3333,53.04,77,59,19.69,broken clouds
53,Busselton,AU,-33.65,115.3333,82.9,43,0,15.26,clear sky
54,Kavieng,PG,-2.5744,150.7967,85.01,61,100,6.08,overcast clouds
55,Baiyin,CN,36.5583,104.2081,15.91,27,100,1.59,overcast clouds
56,Yumen,CN,40.2833,97.2,7.61,66,94,4.32,overcast clouds
57,Isangel,VU,-19.55,169.2667,80.71,94,75,3.44,broken clouds
58,Cam Ranh,VN,11.9214,109.1591,87.76,62,20,11.5,few clouds
59,Yerbogachen,RU,61.2767,108.0108,-0.27,96,100,11.65,light snow
60,Sao Filipe,CV,14.8961,-24.4956,73.96,65,16,8.84,few clouds
61,Dikson,RU,73.5069,80.5464,4.89,98,98,4.05,overcast clouds
62,Hilo,US,19.7297,-155.09,80.28,89,100,6.91,overcast clouds
63,New Norfolk,AU,-42.7826,147.0587,65.7,58,100,5.99,overcast clouds
64,Hami,CN,42.8,93.45,12.65,19,0,1.34,clear sky
65,Broome,US,42.2506,-75.833,37.62,77,40,11.5,scattered clouds
66,Goure,NE,13.9835,10.2704,58.89,33,46,7.38,scattered clouds
67,Rorvik,NO,64.8621,11.2373,35.71,80,100,10.36,overcast clouds
68,Bela,IN,25.9333,81.9833,71.44,44,99,1.12,overcast clouds
69,Katsuura,JP,35.1333,140.3,68.45,78,90,7.9,overcast clouds
70,Naguabo,PR,18.2116,-65.7349,78.6,89,100,4.61,overcast clouds
71,Souillac,MU,-20.5167,57.5167,75.58,83,40,6.91,scattered clouds
72,Kautokeino,NO,69.0125,23.0412,27.54,93,100,13.35,overcast clouds
73,Mega,ET,4.05,38.3,57.74,73,84,7.74,broken clouds
74,Carnarvon,AU,-24.8667,113.6333,77.67,63,0,13.58,clear sky
75,Qaanaaq,GL,77.484,-69.3632,-18.09,81,19,6.51,few clouds
76,Kahului,US,20.8947,-156.47,78.96,84,40,5.75,scattered clouds
77,Narsaq,GL,60.9167,-46.05,28.62,86,100,5.17,overcast clouds
78,Mataura,NZ,-46.1927,168.8643,55.17,84,90,9.89,overcast clouds
79,Grand Gaube,MU,-20.0064,57.6608,79.38,66,100,3.0,overcast clouds
80,Sestri Levante,IT,44.2732,9.3968,46.31,70,71,8.5,broken clouds
81,Bako,ET,5.7833,36.5667,64.27,67,88,3.49,overcast clouds
82,Itupiranga,BR,-5.1347,-49.3267,73.72,99,100,4.09,overcast clouds
83,Muros,ES,42.7762,-9.0603,54.09,87,100,18.37,light rain
84,Canico,PT,32.6333,-16.85,62.71,78,40,4.61,scattered clouds
85,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,77,75,8.05,broken clouds
86,Punta Arenas,CL,-53.15,-70.9167,46.11,61,100,24.96,overcast clouds
87,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,78,100,11.5,overcast clouds
88,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,16.11,scattered clouds
89,Vardo,NO,70.3705,31.1107,31.98,86,81,23.02,broken clouds
90,Thompson,CA,55.7435,-97.8558,-2.04,78,100,16.11,light snow
91,Aripuana,BR,-9.1667,-60.6333,73.87,80,98,3.11,overcast clouds
92,Falam,MM,22.9167,93.6833,69.44,69,46,2.68,scattered clouds
93,Hermanus,ZA,-34.4187,19.2345,63.81,85,12,7.36,few clouds
94,Chulakivka,UA,46.3576,32.3514,37.26,64,94,16.11,overcast clouds
95,Port Keats,AU,-14.25,129.55,95.86,37,58,4.7,broken clouds
96,Yokosuka,JP,35.2836,139.6672,71.04,64,98,1.99,overcast clouds
97,Leningradskiy,RU,69.3833,178.4167,21.36,82,100,6.51,overcast clouds
98,Juneau,US,58.3019,-134.4197,19.4,100,40,8.05,scattered clouds
99,Saint-Augustin,CA,51.226,-58.6502,9.07,81,8,12.59,clear sky
100,Camopi,GF,3.1655,-52.3158,71.73,100,100,2.01,light rain
101,Havre-Saint-Pierre,CA,50.2334,-63.5986,12.2,84,0,0.0,clear sky
102,Ponazyrevo,RU,58.3578,46.3142,4.14,97,45,2.39,scattered clouds
103,Lorengau,PG,-2.0226,147.2712,84.92,69,83,9.48,broken clouds
104,Longyearbyen,SJ,78.2186,15.6401,33.64,80,75,17.27,broken clouds
105,Oriximina,BR,-1.7656,-55.8661,75.13,89,90,2.84,overcast clouds
106,Kodiak,US,57.79,-152.4072,26.11,54,0,8.05,clear sky
107,Faanui,PF,-16.4833,-151.75,79.68,76,22,11.5,few clouds
108,Bowen,AU,-20.0167,148.2333,80.15,77,100,7.25,overcast clouds
109,Kodinsk,RU,58.6881,99.1844,-7.24,95,100,6.29,overcast clouds
110,Trofors,NO,65.5333,13.4063,24.67,91,27,4.54,scattered clouds
111,Batagay,RU,67.6333,134.6333,-25.35,97,100,2.1,overcast clouds
112,Hervey Bay,AU,-25.2986,152.8535,69.22,89,100,27.72,light rain
113,Tuatapere,NZ,-46.1333,167.6833,49.21,83,95,15.68,overcast clouds
114,Saint-Joseph,RE,-21.3667,55.6167,79.47,75,19,3.42,few clouds
115,San Quintin,MX,30.4833,-115.95,57.52,74,0,7.25,clear sky
116,Marawi,PH,7.9986,124.2928,78.17,75,96,6.91,overcast clouds
117,Avera,US,33.194,-82.5271,63.37,69,63,10.31,broken clouds
118,Thyboron,DK,56.6985,8.2124,39.15,93,98,12.1,overcast clouds
119,Ponta Do Sol,PT,32.6667,-17.1,63.23,72,18,3.4,few clouds
120,Shahrud,IR,36.4182,54.9763,44.13,55,100,4.65,overcast clouds
121,Port Blair,IN,11.6667,92.75,86.04,70,40,8.05,scattered clouds
122,Aklavik,CA,68.2191,-135.0107,-11.36,85,100,3.62,overcast clouds
123,Airai,TL,-8.9266,125.4092,75.38,52,72,3.83,broken clouds
124,Coihaique,CL,-45.5752,-72.0662,48.15,57,75,4.61,broken clouds
125,Lazaro Cardenas,MX,17.9583,-102.2,75.76,80,11,2.37,few clouds
126,Nanortalik,GL,60.1432,-45.2371,31.68,83,100,8.68,overcast clouds
127,Anadyr,RU,64.75,177.4833,34.3,86,40,8.95,scattered clouds
128,Palmer,US,42.1584,-72.3287,32.86,72,99,2.59,overcast clouds
129,Farap,TM,39.1704,63.6116,35.6,100,77,4.61,mist
130,Severo-Kurilsk,RU,50.6789,156.125,37.74,98,100,8.75,light rain
131,Naze,JP,28.3667,129.4833,63.52,85,98,23.82,overcast clouds
132,Barabai,ID,-2.5833,115.3833,88.03,66,34,3.78,scattered clouds
133,Laguna,US,38.421,-121.4238,49.08,62,0,0.0,clear sky
134,Ixtapa,MX,20.7,-105.2,72.23,79,33,2.46,scattered clouds
135,Aitape,PG,-3.1374,142.3475,85.12,68,100,6.8,overcast clouds
136,Ofunato,JP,39.0717,141.7167,54.73,65,93,8.9,overcast clouds
137,Touros,BR,-5.1989,-35.4608,77.25,73,83,7.78,broken clouds
138,Atuona,PF,-9.8,-139.0333,77.81,72,13,14.58,few clouds
139,Talnakh,RU,69.4865,88.3972,-10.21,99,100,2.71,overcast clouds
140,Cape Town,ZA,-33.9258,18.4232,65.26,84,75,8.05,broken clouds
141,Sitka,US,57.0531,-135.33,24.69,33,0,23.02,clear sky
142,Pisco,PE,-13.7,-76.2167,66.25,88,0,4.61,clear sky
143,Axim,GH,4.8699,-2.2405,77.0,86,78,2.57,broken clouds
144,Khatanga,RU,71.9667,102.5,-25.55,96,6,4.38,clear sky
145,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.24,91,100,15.46,overcast clouds
146,Baisha,CN,26.5222,110.9311,37.35,89,100,5.73,overcast clouds
147,Christchurch,NZ,-43.5333,172.6333,66.4,68,20,18.41,few clouds
148,Sigli,ID,5.3848,95.9609,83.71,67,100,2.82,overcast clouds
149,Torbay,CA,47.6666,-52.7314,27.39,75,75,12.66,broken clouds
150,Namibe,AO,-15.1961,12.1522,68.94,83,100,5.26,overcast clouds
151,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,85,97,4.16,overcast clouds
152,Vao,NC,-22.6667,167.4833,79.27,80,91,3.0,light rain
153,Kaitangata,NZ,-46.2817,169.8464,59.02,66,97,13.53,overcast clouds
154,Puerto Ayora,EC,-0.7393,-90.3518,70.56,89,46,10.0,scattered clouds
155,Vanavara,RU,60.34,102.2797,-9.9,95,98,8.37,overcast clouds
156,Roma,US,43.2128,-75.4557,35.82,79,0,9.22,clear sky
157,Mount Gambier,AU,-37.8333,140.7667,61.43,60,94,7.7,overcast clouds
158,Rawson,AR,-43.3002,-65.1023,54.37,69,53,10.78,broken clouds
159,Seguela,CI,7.9611,-6.6731,72.39,74,67,3.53,broken clouds
160,Myitkyina,MM,25.3833,97.4,77.4,35,0,2.89,clear sky
161,Wageningen,NL,51.9667,5.6667,45.05,98,100,3.44,mist
162,Iqaluit,CA,63.7506,-68.5145,-16.87,69,20,9.22,few clouds
163,Yellowknife,CA,62.456,-114.3525,-28.68,75,40,5.75,light snow
164,Paamiut,GL,61.994,-49.6678,26.89,80,100,16.73,overcast clouds
165,Mandera,KE,3.9366,41.867,76.41,73,75,8.12,broken clouds
166,Havoysund,NO,70.9963,24.6622,37.63,89,100,14.23,overcast clouds
167,Bereda,ES,43.2686,-7.5406,44.42,100,92,2.24,overcast clouds
168,Sola,VU,-13.8833,167.55,86.67,70,75,0.0,broken clouds
169,Arman,RU,59.7,150.1667,25.02,80,100,36.15,snow
170,Ilulissat,GL,69.2167,-51.1,24.82,80,75,6.91,broken clouds
171,Esmeraldas,BR,-19.7625,-44.3139,71.91,97,65,2.55,moderate rain
172,Saskylakh,RU,71.9167,114.0833,-23.93,99,100,6.78,overcast clouds
173,Seoul,KR,37.5683,126.9778,27.79,36,0,11.5,clear sky
174,Kobe,JP,34.6913,135.183,62.37,67,75,11.5,broken clouds
175,Capelinha,BR,-17.6914,-42.5158,62.6,96,99,2.06,light rain
176,Itarema,BR,-2.9248,-39.9167,76.12,84,100,3.27,overcast clouds
177,Port Elizabeth,ZA,-33.918,25.5701,69.31,81,0,9.22,clear sky
178,Klaksvik,FO,62.2266,-6.589,45.52,87,100,17.0,overcast clouds
179,Nome,US,64.5011,-165.4064,19.47,79,100,11.5,overcast clouds
180,Saint-Pierre,RE,-21.3393,55.4781,80.91,57,0,5.75,clear sky
181,Westport,US,41.1415,-73.3579,37.2,74,20,3.44,few clouds
182,Vostok,RU,46.4856,135.8833,-2.07,88,100,14.03,overcast clouds
183,Pinawa,CA,50.1489,-95.8811,19.74,95,98,6.62,light snow
184,Sharjah,AE,25.3573,55.4033,75.18,77,0,4.61,clear sky
185,Ahipara,NZ,-35.1667,173.1667,63.18,86,40,13.4,scattered clouds
186,Gorin,RU,51.1983,136.6669,6.39,84,100,8.23,overcast clouds
187,Eureka,US,40.8021,-124.1637,43.41,90,87,1.01,overcast clouds
188,Tigre,AR,-34.426,-58.5796,80.74,65,0,8.05,clear sky
189,Awjilah,LY,29.1081,21.2869,57.29,56,0,9.26,clear sky
190,Oranjemund,NA,-28.55,16.4333,59.56,88,61,4.68,broken clouds
191,Mahajanga,MG,-15.7167,46.3167,80.62,78,20,4.61,few clouds
192,Bethel,US,41.3712,-73.414,34.63,88,0,0.0,clear sky
193,Tual,ID,-5.6667,132.75,80.58,83,100,18.97,moderate rain
194,Great Yarmouth,GB,52.6083,1.7305,42.03,78,78,5.1,broken clouds
195,Cockburn Town,TC,21.4612,-71.1419,81.21,73,18,22.86,light rain
196,Segou,ML,13.4317,-6.2157,72.68,19,58,8.5,broken clouds
197,Fort Dodge,US,42.4975,-94.168,21.2,68,0,12.66,clear sky
198,Aktas,KZ,49.7789,72.9608,1.15,70,100,8.32,overcast clouds
199,Zhezkazgan,KZ,47.8043,67.7144,13.98,92,100,8.95,light snow
200,Narasannapeta,IN,18.4167,84.05,79.21,50,0,5.68,clear sky
201,Saint George,US,37.1041,-113.5841,39.79,33,0,3.44,clear sky
202,Gogrial,SS,8.5332,28.1004,78.44,44,63,2.98,broken clouds
203,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.15,57,40,10.36,scattered clouds
204,College,US,64.8569,-147.8028,-9.42,78,40,0.0,scattered clouds
205,Codrington,AU,-38.2667,141.9667,61.0,67,93,11.14,overcast clouds
206,Ust-Kulom,RU,61.6864,53.6902,14.11,98,99,1.57,overcast clouds
207,Salaga,GH,8.5508,-0.5188,76.78,60,15,3.36,few clouds
208,Lagoa,PT,39.05,-27.9833,61.99,69,100,6.8,overcast clouds
209,Herzberg,DE,51.6869,13.2202,39.33,81,75,4.61,broken clouds
210,Norman Wells,CA,65.282,-126.8329,-29.16,75,75,2.3,broken clouds
211,Luga,RU,58.7372,29.8453,22.78,97,100,4.83,overcast clouds
212,Dingle,PH,10.9995,122.6711,84.52,73,78,15.05,broken clouds
213,Kurashiki,JP,34.5833,133.7667,61.0,63,100,14.05,light rain
214,Marsh Harbour,BS,26.5412,-77.0636,77.14,70,55,17.29,broken clouds
215,Beyneu,KZ,45.3167,55.2,23.79,48,1,8.75,clear sky
216,Khandyga,RU,62.6667,135.6,-32.89,97,100,0.83,overcast clouds
217,Safaga,EG,26.7292,33.9365,68.92,47,7,3.91,clear sky
218,Singaraja,ID,-8.112,115.0882,86.88,62,83,3.49,broken clouds
219,Waverly,US,42.7392,-84.6208,53.53,80,100,14.97,overcast clouds
220,Nemuro,JP,43.3236,145.575,35.2,92,100,14.0,light snow
221,Mersin,TR,36.862,34.6509,60.62,56,89,3.51,overcast clouds
222,Porto Seguro,BR,-16.4497,-39.0647,75.72,100,0,3.44,clear sky
223,Porto Velho,BR,-8.7619,-63.9039,78.85,89,0,3.44,clear sky
224,Saint-Denis,FR,48.9167,2.3333,44.38,93,100,8.05,mist
225,Basco,PH,20.4487,121.9702,80.96,79,89,19.26,overcast clouds
226,Lufilufi,WS,-13.8745,-171.5986,82.18,76,100,9.31,overcast clouds
227,Bubaque,GW,11.2833,-15.8333,80.04,64,86,7.14,overcast clouds
228,Jiayuguan,CN,39.8167,98.3,10.92,74,100,1.9,overcast clouds
229,Santa Isabel,BR,-23.3156,-46.2214,67.3,99,100,0.49,overcast clouds
230,Kazachinskoye,RU,57.6953,93.2761,-9.38,93,81,5.95,broken clouds
231,Doembang Nangbuat,TH,14.8333,100.1,85.01,74,100,1.05,overcast clouds
232,Ust-Omchug,RU,61.15,149.6333,-13.7,99,100,10.65,snow
233,Camana,PE,-16.6228,-72.7111,66.87,86,74,6.22,broken clouds
234,Thinadhoo,MV,0.5333,72.9333,80.89,72,100,6.31,overcast clouds
235,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,94,75,8.37,broken clouds
236,Murray,US,40.6669,-111.888,26.8,66,0,9.22,clear sky
237,Goderich,CA,43.7501,-81.7165,48.52,71,100,20.71,overcast clouds
238,Moose Factory,CA,51.2585,-80.6094,26.6,93,100,13.8,snow
239,Gat,IL,31.61,34.7642,62.4,100,3,6.64,clear sky
240,Port Shepstone,ZA,-30.7414,30.455,67.62,79,0,20.11,clear sky
241,Pital,CO,2.2665,-75.8044,66.2,94,74,1.79,moderate rain
242,Srednekolymsk,RU,67.45,153.6833,-26.68,99,70,6.8,broken clouds
243,Moissac,FR,44.1024,1.0945,42.48,90,32,3.44,scattered clouds
244,Salalah,OM,17.0151,54.0924,73.49,73,20,4.61,few clouds
245,Vila Velha,BR,-20.3297,-40.2925,73.35,100,75,10.36,broken clouds
246,Shieli,KZ,44.1667,66.75,35.13,50,100,7.87,overcast clouds
247,Cherskiy,RU,68.75,161.3,-17.09,98,99,4.63,overcast clouds
248,Boueni,YT,-12.9025,45.0761,76.98,72,3,8.25,clear sky
249,Rodos,GR,36.4408,28.2225,61.79,90,20,1.01,few clouds
250,Nouadhibou,MR,20.931,-17.0347,67.82,48,0,12.95,clear sky
251,Bredasdorp,ZA,-34.5322,20.0403,63.37,80,6,4.97,clear sky
252,Bulgan,MN,48.8125,103.5347,-2.61,65,94,1.83,overcast clouds
253,Saint-Louis,SN,16.3333,-15.0,71.24,17,4,8.97,clear sky
254,Raga,SS,8.4596,25.678,75.85,43,92,0.58,overcast clouds
255,Kurumkan,RU,54.3,110.3,-10.66,77,21,1.61,few clouds
256,Sotnikovskoye,RU,45.0039,43.7772,30.47,78,100,16.67,overcast clouds
257,Krasnyy Chikoy,RU,50.3643,108.7512,1.83,85,100,14.45,overcast clouds
258,Maningrida,AU,-12.0667,134.2667,88.83,55,98,8.16,overcast clouds
259,Dalen,NL,52.6992,6.7556,44.06,89,100,5.99,overcast clouds
260,Alice Springs,AU,-23.7,133.8833,81.95,21,0,10.36,clear sky
261,Port-Gentil,GA,-0.7193,8.7815,75.96,90,100,13.09,light rain
262,Hasaki,JP,35.7333,140.8333,66.6,77,100,12.75,light rain
263,Upington,ZA,-28.4478,21.2561,75.58,57,20,21.85,few clouds
264,Kuandian,CN,40.7286,124.7847,12.13,24,0,11.01,clear sky
265,Upernavik,GL,72.7868,-56.1549,5.38,95,100,14.92,light snow
266,Neosho,US,36.869,-94.368,35.31,74,9,4.0,clear sky
267,Naples,IT,40.8333,14.25,54.14,72,40,14.97,scattered clouds
268,Parczew,PL,51.6402,22.9006,34.41,89,100,6.67,overcast clouds
269,Kattivakkam,IN,13.2167,80.3167,80.69,71,22,10.76,few clouds
270,Oni,GE,42.5794,43.4425,43.03,74,99,5.75,overcast clouds
271,Caravelas,BR,-17.7125,-39.2481,75.11,84,100,9.8,moderate rain
